Name,Title,Division
"Biaggi, Alessandra",Special Assistant to the Counsel,COUNSEL
"Starr, Jason",Gabay Fellow,COUNSEL
"Pellegrini, Giancarlo",Empire State Fellow (Counsel),COUNSEL
"Finke, James",Special Assistant for Judicial Screening,COUNSEL
"Gagnon, Denise",Legislative Secretary,COUNSEL
"Rose, Alexander",Special Assistant to Counsel's Office,COUNSEL
"Biden, Naomi",Research Assistant to the Governor's Counsel,COUNSEL
"Dorsey, Meghan",Legislative Assistant,COUNSEL
"Santandrea, Katherine",Office Manager,COUNSEL
"McDonald, Lettisha",Executive Assistant,COUNSEL
"Frany, Leigh",Executive Assistant,COUNSEL
"Terry, Yolanda",Executive Assistant,COUNSEL
"Corellis, Suzan",Executive Assistant,COUNSEL
"Grogan, Sharry",Executive Assistant,COUNSEL
"Diaz-Brisman, Patrisia",Executive Assistant,COUNSEL
"Schuman, Adam",Special Counsel for Public Integrity,COUNSEL
"Pokorny, Carolyn",Chief Special Counsel for Public Integrity,COUNSEL
"Wolinsky, Andrew",Assistant Special Counsel for Public Integrity,COUNSEL
"Teitlebaum, Rachel",Assistant Special Counsel for Public Integrity,COUNSEL
"Hicks, Charles",Special Assistant for Public Integrity,COUNSEL
"Bazell, Stephanie","Chief of Staff for Ethics, Risk and Compliance",COUNSEL
"Grasso, Lauren",Chief FOIL Officer,COUNSEL
"DiBernardo, Blaise",FOIL Attorney,COUNSEL
"Alvi, Nida",FOIL Attorney,COUNSEL
"Mantello, Rebecca",FOIL Attorney,COUNSEL
"Herasimtschuk, Andrea",FOIL Attorney,COUNSEL
"Morrison, Derek",Special Assistant for Public Integrity,COUNSEL
"Hill, Aaron",Research Analyst,COUNSEL
"Sherwood, Jacob",Research Analyst,COUNSEL
